// UVow
A	\u0391
E	\u0395
H	\u0397
I	\u0399
O	\u039F
U	\u03A5
W	\u03A9
// LVow
a	\u03B1
e	\u03B5
h	\u03B7
i	\u03B9
o	\u03BF
u	\u03C5
w	\u03C9
// LVowAcute
'a	\u1F71
'e	\u1F73
'h	\u1F75
'i	\u1F77
'o	\u1F79
'u	\u1F7B
'w	\u1F7D
// LVowGrave
`a	\u1F70
`e	\u1F72
`h	\u1F74
`i	\u1F76
`o	\u1F78
`u	\u1F7A
`w	\u1F7C
// LVowCircu
~a	\u1FB6
~h	\u1FC6
~i	\u1FD6
~u	\u1FE6
~w	\u1FF6
// UVowSmoot
>A	\u1F08
>E	\u1F18
>H	\u1F28
>I	\u1F38
>O	\u1F48
>W	\u1F68
// LVowSmoot
>a	\u1F00
>e	\u1F10
>h	\u1F20
>i	\u1F30
>o	\u1F40
>u	\u1F50
>w	\u1F60
// UVowRough
<A	\u1F09
<E	\u1F19
<H	\u1F29
<I	\u1F39
<O	\u1F49
<U	\u1F59
<W	\u1F69
// LVowRough
<a	\u1F01
<e	\u1F11
<h	\u1F21
<i	\u1F31
<o	\u1F41
<u	\u1F51
<w	\u1F61
// UVowIoSub
A|	\u1FBC
H|	\u1FCC
H|	\u1FFC
// LVowIoSub
a|	\u1FB3
h|	\u1FC3
w|	\u1FF3
// LVowDiaer
"i	\u03CA
"u	\u03CB
// LVowAcuteDiaer
'"i	\u1FD3
'"u	\u1FE3
// LVowGraveDiaer
`"i	\u1FD2
`"u	\u1FE2
// LVowCircuDiaer
~"i	\u1FD7
~"u	\u1FE7
// UVowSmootAcute
>'A	\u1F0C
>'E	\u1F1C
>'H	\u1F2C
>'I	\u1F3C
>'O	\u1F4C
>'W	\u1F6C
// LVowSmootAcute
>'a	\u1F04
>'e	\u1F14
>'h	\u1F24
>'i	\u1F34
>'o	\u1F44
>'u	\u1F54
>'w	\u1F64
// UVowSmootGrave
>`A	\u1F0A
>`E	\u1F1A
>`H	\u1F2A
>`I	\u1F3A
>`O	\u1F4A
>`U	\u1F6A
// LVowSmootGrave
>`a	\u1F02
>`e	\u1F12
>`h	\u1F22
>`i	\u1F32
>`o	\u1F42
>`u	\u1F52
>`w	\u1F62
// UVowSmootCircu
>~A	\u1F0E
>~H	\u1F2E
>~I	\u1F3E
>~W	\u1F6E
// LVowSmootCircu
>~a	\u1F06
>~h	\u1F26
>~i	\u1F36
>~u	\u1F56
>~w	\u1F66
// UVowRoughAcute
<'A	\u1F0D
<'E	\u1F1D
<'H	\u1F2D
<'I	\u1F3D
<'O	\u1F4D
<'U	\u1F5D
<'W	\u1F6D
// LVowRoughAcute
<'a	\u1F05
